rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,len,seq,sysid,compid,msgid,fromlcm,payload64
1408109375758250731,,516,,0,0,'',28,221,1,1,33,False,"[2378235043765093486, 113172492262002, 24488340153702996, 9601194907696889865L, 8443840192705099, 72396359564984364, 6698473605593322046, 812350114369, 148434069749760, 3821584181457059840, 10617089, 3899271397318328320, 17293823610466664705L, 3604624740433592624, 1513209582338441316, 14642389860636143872L, 16439265644539936326L, 3676709738508421036, 414982, 1656866553070616576, 266636451971384, 422500992491914885, 423342630007473811, 88133546469359616, 16403235746858737153L, 5794793647656025628, 894314967005020181, 13440075752959426098L, 8854439710563112190, 2213588848923983700, 37503571965264077, 31877452529724, 0]"
1408109375764306591,,517,,0,0,'',21,222,1,1,36,False,"[465285584040009065, 104531534, 954376092909568, 9601194907696889865L, 8443840192705099, 72396359564984364, 6698473605593322046, 812350114369, 148434069749760, 3821584181457059840, 10617089, 3899271397318328320, 17293823610466664705L, 3604624740433592624, 1513209582338441316, 14642389860636143872L, 16439265644539936326L, 3676709738508421036, 414982, 1656866553070616576, 266636451971384, 422500992491914885, 423342630007473811, 88133546469359616, 16403235746858737153L, 5794793647656025628, 894314967005020181, 13440075752959426098L, 8854439710563112190, 2213588848923983700, 37503571965264077, 31877452529724, 0]"
1408109375768947011,,518,,0,0,'',22,223,1,1,35,False,"[458811333094212909, 567460781577274865, 13752867362181153761L, 9601194907696889865L, 8443840192705099, 72396359564984364, 6698473605593322046, 812350114369, 148434069749760, 3821584181457059840, 10617089, 3899271397318328320, 17293823610466664705L, 3604624740433592624, 1513209582338441316, 14642389860636143872L, 16439265644539936326L, 3676709738508421036, 414982, 1656866553070616576, 266636451971384, 422500992491914885, 423342630007473811, 88133546469359616, 16403235746858737153L, 5794793647656025628, 894314967005020181, 13440075752959426098L, 8854439710563112190, 2213588848923983700, 37503571965264077, 31877452529724, 0]"
1408109375794144869,,519,,0,0,'',28,224,1,1,30,False,"[4470765289587410221, 4617966047631165044, 13563456799226750668L, 9601387150585427174L, 8443840192705099, 72396359564984364, 6698473605593322046, 812350114369, 148434069749760, 3821584181457059840, 10617089, 3899271397318328320, 17293823610466664705L, 3604624740433592624, 1513209582338441316, 14642389860636143872L, 16439265644539936326L, 3676709738508421036, 414982, 1656866553070616576, 266636451971384, 422500992491914885, 423342630007473811, 88133546469359616, 16403235746858737153L, 5794793647656025628, 894314967005020181, 13440075752959426098L, 8854439710563112190, 2213588848923983700, 37503571965264077, 31877452529724, 0]"
1408109375798086906,,520,,0,0,'',20,225,1,1,74,False,"[4581421828795562721, 1087876628, 13563482175033835654L, 9601387150585427174L, 8443840192705099, 72396359564984364, 6698473605593322046, 812350114369, 148434069749760, 3821584181457059840, 10617089, 3899271397318328320, 17293823610466664705L, 3604624740433592624, 1513209582338441316, 14642389860636143872L, 16439265644539936326L, 3676709738508421036, 414982, 1656866553070616576, 266636451971384, 422500992491914885, 423342630007473811, 88133546469359616, 16403235746858737153L, 5794793647656025628, 894314967005020181, 13440075752959426098L, 8854439710563112190, 2213588848923983700, 37503571965264077, 31877452529724, 0]"
1408109375823120833,,521,,0,0,'',12,228,1,1,2,False,"[1408109376631000, 4575669852907308353, 4427748374619357184, 9601387150567878938L, 8443840192705099, 72396359564984364, 6698473605593322046, 812350114369, 148434069749760, 3821584181457059840, 10617089, 3899271397318328320, 17293823610466664705L, 3604624740433592624, 1513209582338441316, 14642389860636143872L, 16439265644539936326L, 3676709738508421036, 414982, 1656866553070616576, 266636451971384, 422500992491914885, 423342630007473811, 88133546469359616, 16403235746858737153L, 5794793647656025628, 894314967005020181, 13440075752959426098L, 8854439710563112190, 2213588848923983700, 37503571965264077, 31877452529724, 0]"
1408109375829097867,,522,,0,0,'',26,229,1,1,27,False,"[64083408, 18421125860805181450L, 18402270537767125127L, 9601387150077460958L, 8443840192705099, 72396359564984364, 6698473605593322046, 812350114369, 148434069749760, 3821584181457059840, 10617089, 3899271397318328320, 17293823610466664705L, 3604624740433592624, 1513209582338441316, 14642389860636143872L, 16439265644539936326L, 3676709738508421036, 414982, 1656866553070616576, 266636451971384, 422500992491914885, 423342630007473811, 88133546469359616, 16403235746858737153L, 5794793647656025628, 894314967005020181, 13440075752959426098L, 8854439710563112190, 2213588848923983700, 37503571965264077, 31877452529724, 0]"
1408109375837935271,,523,,0,0,'',14,231,1,1,29,False,"[4934639147877991805, 948590307018439393, 18401991888856154156L, 9601387150077460958L, 8443840192705099, 72396359564984364, 6698473605593322046, 812350114369, 148434069749760, 3821584181457059840, 10617089, 3899271397318328320, 17293823610466664705L, 3604624740433592624, 1513209582338441316, 14642389860636143872L, 16439265644539936326L, 3676709738508421036, 414982, 1656866553070616576, 266636451971384, 422500992491914885, 423342630007473811, 88133546469359616, 16403235746858737153L, 5794793647656025628, 894314967005020181, 13440075752959426098L, 8854439710563112190, 2213588848923983700, 37503571965264077, 31877452529724, 0]"
1408109376062256390,,524,,0,0,'',31,233,1,1,1,False,"[558753770503215, 2975472412600171567, 1457, 6800998387282870272, 8443840192705097, 72396359564984364, 6698473605593322046, 812350114369, 148434069749760, 3821584181457059840, 10617089, 3899271397318328320, 17293823610466664705L, 3604624740433592624, 1513209582338441316, 14642389860636143872L, 16439265644539936326L, 3676709738508421036, 414982, 1656866553070616576, 266636451971384, 422500992491914885, 423342630007473811, 88133546469359616, 16403235746858737153L, 5794793647656025628, 894314967005020181, 13440075752959426098L, 8854439710563112190, 2213588848923983700, 37503571965264077, 31877452529724, 0]"
1408109376066250476,,525,,0,0,'',2,235,1,1,42,False,"[558756547395584, 2975472412600171567, 1457, 6800998387282870272, 8443840192705097, 72396359564984364, 6698473605593322046, 812350114369, 148434069749760, 3821584181457059840, 10617089, 3899271397318328320, 17293823610466664705L, 3604624740433592624, 1513209582338441316, 14642389860636143872L, 16439265644539936326L, 3676709738508421036, 414982, 1656866553070616576, 266636451971384, 422500992491914885, 423342630007473811, 88133546469359616, 16403235746858737153L, 5794793647656025628, 894314967005020181, 13440075752959426098L, 8854439710563112190, 2213588848923983700, 37503571965264077, 31877452529724, 0]"
