rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1408109375578005193,,4,,1408109375,574248505,'',2,/record_1408109374553991051,Subscribing to /rosout,/tmp/buildd/ros-indigo-rosbag-1.11.7-0trusty-20140724-0639/src/recorder.cpp,shared_ptr<ros,205,['/rosout']
1408109375578049058,,5,,1408109375,577992191,'',2,/record_1408109374553991051,Subscribing to /rosout_agg,/tmp/buildd/ros-indigo-rosbag-1.11.7-0trusty-20140724-0639/src/recorder.cpp,shared_ptr<ros,205,['/rosout']
1408109375581467062,,6,,1408109375,581401025,'',2,/record_1408109374553991051,Subscribing to /joy,/tmp/buildd/ros-indigo-rosbag-1.11.7-0trusty-20140724-0639/src/recorder.cpp,shared_ptr<ros,205,['/rosout']
1408109375585353512,,7,,1408109375,585222158,'',2,/record_1408109374553991051,Subscribing to /fcu/imu,/tmp/buildd/ros-indigo-rosbag-1.11.7-0trusty-20140724-0639/src/recorder.cpp,shared_ptr<ros,205,['/rosout']
1408109375588842745,,8,,1408109375,588780741,'',2,/record_1408109374553991051,Subscribing to /diagnostics,/tmp/buildd/ros-indigo-rosbag-1.11.7-0trusty-20140724-0639/src/recorder.cpp,shared_ptr<ros,205,['/rosout']
1408109375592087933,,9,,1408109375,592031717,'',2,/record_1408109374553991051,Subscribing to /fcu/raw/imu,/tmp/buildd/ros-indigo-rosbag-1.11.7-0trusty-20140724-0639/src/recorder.cpp,shared_ptr<ros,205,['/rosout']
1408109375720473332,,0,,1408109352,73932913,'',2,/joy_node,Opened joystick,/home/exchizz/ROS/FM/src/fmDependencies/joystick_drivers/joy/src/joy_node.cpp,main,181,"['/rosout', '/diagnostics', '/joy']"
1408109375721477485,,83,,1408109375,382164506,'',2,/mavlink_controller,Heartbeat sent,/home/exchizz/ROS/Projects/UAV/mavlink/src/src/mavlink_ros_to_pixhawk_node.cpp,Mavlink create_heartbeat_msg,387,"['/rosout', '/mavlink/to']"
1408109375758546955,,84,,1408109375,382212453,'',2,/mavlink_controller,System armed,/home/exchizz/ROS/Projects/UAV/mavlink/src/src/mavlink_ros_to_pixhawk_node.cpp,chatterCallback,167,"['/rosout', '/mavlink/to']"
1408109375758566623,,85,,1408109375,758328040,'',2,/mavlink_controller,Altitude,/home/exchizz/ROS/Projects/UAV/mavlink/src/src/mavlink_ros_to_pixhawk_node.cpp,chatterCallback,234,"['/rosout', '/mavlink/to']"
1408109376224136438,,86,,1408109376,223851418,'',2,/mavlink_controller,RC_override sent,/home/exchizz/ROS/Projects/UAV/mavlink/src/src/mavlink_ros_to_pixhawk_node.cpp,Mavlink create_rc_override_msg,292,"['/rosout', '/mavlink/to']"
1408109376224147714,,87,,1408109376,223882811,'',2,/mavlink_controller,"Joy-> CH1 0, CH2 0, CH3 1500, CH4 0",/home/exchizz/ROS/Projects/UAV/mavlink/src/src/mavlink_ros_to_pixhawk_node.cpp,Mavlink create_rc_override_msg,308,"['/rosout', '/mavlink/to']"
1408109376311779664,,88,,1408109376,311537778,'',4,/mavlink_controller,altitude locked,/home/exchizz/ROS/Projects/UAV/mavlink/src/src/mavlink_ros_to_pixhawk_node.cpp,chatterCallback,207,"['/rosout', '/mavlink/to']"
1408109376311797596,,89,,1408109376,311578585,'',2,/mavlink_controller,altitude error,/home/exchizz/ROS/Projects/UAV/mavlink/src/src/mavlink_ros_to_pixhawk_node.cpp,chatterCallback,220,"['/rosout', '/mavlink/to']"
1408109376311970041,,90,,1408109376,311597578,'',4,/mavlink_controller,ch3,/home/exchizz/ROS/Projects/UAV/mavlink/src/src/mavlink_ros_to_pixhawk_node.cpp,chatterCallback,224,"['/rosout', '/mavlink/to']"
1408109376311999533,,91,,1408109376,311620111,'',2,/mavlink_controller,RC_override sent,/home/exchizz/ROS/Projects/UAV/mavlink/src/src/mavlink_ros_to_pixhawk_node.cpp,Mavlink create_rc_override_msg,292,"['/rosout', '/mavlink/to']"
1408109376312005496,,92,,1408109376,311639183,'',2,/mavlink_controller,"Joy-> CH1 0, CH2 0, CH3 1550, CH4 0",/home/exchizz/ROS/Projects/UAV/mavlink/src/src/mavlink_ros_to_pixhawk_node.cpp,Mavlink create_rc_override_msg,308,"['/rosout', '/mavlink/to']"
1408109376312048710,,93,,1408109376,311676963,'',2,/mavlink_controller,Altitude,/home/exchizz/ROS/Projects/UAV/mavlink/src/src/mavlink_ros_to_pixhawk_node.cpp,chatterCallback,234,"['/rosout', '/mavlink/to']"
1408109376383948907,,94,,1408109376,383796428,'',2,/mavlink_controller,RC_override sent,/home/exchizz/ROS/Projects/UAV/mavlink/src/src/mavlink_ros_to_pixhawk_node.cpp,Mavlink create_rc_override_msg,292,"['/rosout', '/mavlink/to']"
1408109376384038198,,95,,1408109376,383862451,'',2,/mavlink_controller,"Joy-> CH1 0, CH2 0, CH3 1500, CH4 0",/home/exchizz/ROS/Projects/UAV/mavlink/src/src/mavlink_ros_to_pixhawk_node.cpp,Mavlink create_rc_override_msg,308,"['/rosout', '/mavlink/to']"
